w,l,nf,flavor,vg,mean_rel_error,vth_error
1e-07,1e-06,1,5,0.0,1.9999829964055427,0.020490015846851173
1e-07,1e-06,1,2,0.0,1.999978880325117,0.022879848591542795
1e-07,5e-07,1,5,0.0,1.9999788595416905,-0.011057381011636114
1e-07,5e-07,1,2,0.0,1.999973841164849,0.004280668423363609
2e-07,1e-06,1,5,0.0,1.9999736342467664,0.01566868447993841
2e-07,5e-07,1,5,0.0,1.9999718891120266,0.011031200381183326
1e-07,1e-06,2,5,0.0,1.999971410609211,0.007765050196274048
1e-07,1e-06,1,4,0.0,1.9999708833229275,-0.06300577260072238
2e-07,1e-06,1,2,0.0,1.9999682058019168,0.04194886926869357
2e-07,1e-06,1,1,0.0,1.9999672921318126,0.01670260428722692
1e-07,5e-07,1,6,0.9,1.9999664232764427,0.06707406068390989
2e-07,5e-07,1,2,0.0,1.9999649995472317,0.018075114158964345
4e-07,1e-06,1,6,0.9,1.999964657445465,0.07084383018105567
2e-07,1e-06,2,6,0.9,1.9999643477381692,0.0703179894710336
1e-07,1e-06,1,6,0.9,1.9999637828474497,0.06154208127930669
2e-07,1e-06,1,4,0.0,1.9999634432184954,-0.018585845763647413
1e-07,1e-06,1,1,0.0,1.999963164432477,0.5839336411403696
1e-07,5e-07,2,5,0.0,1.999962847181082,0.024993776038122917
1e-07,1e-06,1,7,0.9,1.99996212322923,0.09007708470916378
1e-07,1e-06,2,2,0.0,1.9999617965437768,0.05543360089888916
1e-07,5e-07,1,7,0.9,1.9999605148541355,0.12902439422794254
1e-07,1e-06,2,7,0.9,1.9999595347321262,0.13364838576986404
2e-07,5e-07,1,6,0.9,1.999959455717923,0.07536467295655924
2e-07,1e-06,4,6,0.9,1.9999593726775906,0.08730423965242476
1e-07,5e-07,2,6,0.9,1.9999591872725264,0.07522827094533241
2e-07,1e-06,1,7,0.9,1.9999582840587933,0.16064824253116108
2e-07,5e-07,1,1,0.0,1.9999576289029304,0.14774396254894673
2e-07,5e-07,2,6,0.9,1.9999575617411012,0.09358350161742543
4e-07,1e-06,2,6,0.9,1.9999567150652182,0.0868613675162277
1e-07,5e-07,2,2,0.0,1.999956452546849,0.035159892807717585
1e-07,1e-06,4,7,0.9,1.9999562127267303,0.15574291762816245
8e-07,1e-06,1,6,0.9,1.9999559964232607,0.0873125123207959
4e-07,5e-07,1,6,0.9,1.9999559629302148,0.093710608459525
1e-07,1e-06,4,6,0.9,1.9999555248845375,0.07293224236946894
2e-07,1e-06,2,1,0.0,1.9999553399287813,0.060502955058625685
1e-07,5e-07,2,7,0.9,1.9999552376687553,0.13150719574717276
2e-07,1e-06,2,2,0.0,1.9999541134635668,0.017074933750898524
1e-07,1e-06,2,6,0.9,1.999953995090052,0.06408526887111596
4e-07,1e-06,1,7,0.9,1.999953655618191,0.16640502196061857
2e-07,5e-07,1,7,0.9,1.9999529970150924,0.17290312160367483
2e-07,1e-06,2,7,0.9,1.9999528808153166,0.1642624377965833
1e-07,2e-07,1,7,0.9,1.9999522501042637,0.1521098083304369
1e-07,1e-06,2,1,0.0,1.999952189186785,0.2677584228865967
2e-07,1e-06,2,5,0.0,1.9999515907145367,0.016275197405977382
1e-07,1e-06,4,5,0.0,1.9999513042987307,0.04032281511774294
4e-07,5e-07,1,2,0.0,1.9999512760745806,0.01744550087830654
4e-07,1e-06,1,2,0.0,1.9999512350964768,0.04792143385339065
1e-07,5e-07,1,1,0.0,1.9999497570462925,0.5422581055741941
1e-07,1e-06,2,4,0.0,1.9999494470506676,-0.051282707529036964
1e-07,5e-07,4,7,0.9,1.9999494025265712,0.15366961815874391
2e-07,1e-06,1,8,0.9,1.999949357796601,0.19482572045697405
1e-07,1e-06,2,8,0.9,1.9999493134272601,0.19261456270784927
1e-07,1e-06,1,8,0.9,1.999949244876338,0.19098968784170986
2e-07,1e-06,8,6,0.9,1.9999491772671782,0.12086413382313119
1e-07,1e-06,8,6,0.9,1.999949122042694,0.08827019390720173
2e-07,5e-07,2,5,0.0,1.9999487904814046,0.029299219055784365
4e-07,5e-07,1,5,0.0,1.9999484962448755,0.03548032057694994
1e-07,1e-06,8,7,0.9,1.9999479995457938,0.18432432828169748
1e-07,1e-06,1,9,0.9,1.9999478515498286,0.19436381377514883
4e-07,1e-06,1,1,0.0,1.9999477138973145,-0.06942998874191209
1e-07,2e-07,1,5,0.0,1.9999476931638749,-0.06315840274196072
1e-07,2e-07,1,6,0.9,1.9999475374356226,0.09302630053371919
1e-07,5e-07,1,8,0.9,1.9999472754143661,0.196319121390691
2e-07,2e-07,1,5,0.0,1.9999467783686558,-0.01408379369720758
2e-07,1e-06,2,8,0.9,1.9999465111128967,0.20153857616553972
2e-07,5e-07,2,2,0.0,1.9999464902527788,0.0334660217235202
4e-07,1e-06,4,6,0.9,1.9999456027104379,0.12017863042234334
4e-07,1e-06,1,5,0.0,1.99994538944078,0.04223614832554701
4e-07,1e-06,1,8,0.9,1.9999450437536488,0.20303941498492278
2e-07,1e-06,4,7,0.9,1.9999447498276701,0.1917106777636522
2e-07,5e-07,4,6,0.9,1.9999445114235794,0.12913300211933407
1e-07,5e-07,2,8,0.9,1.9999442230592073,0.20295479259094418
4e-07,5e-07,1,1,0.0,1.9999441463006367,-0.04313955367509492
8e-07,1e-06,2,6,0.9,1.9999441281067114,0.12013022621447586
4e-07,1e-06,2,7,0.9,1.9999440121174854,0.19826270509887964
4e-07,5e-07,1,7,0.9,1.999943900926437,0.1920077139311954
8e-07,1e-06,1,7,0.9,1.9999437901869157,0.2060817863265135
1e-07,1e-06,4,8,0.9,1.9999435234070488,0.20100794513894632
2e-07,1e-06,1,9,0.9,1.9999435035144881,0.19798445949457705
2e-07,5e-07,2,7,0.9,1.9999434192690906,0.17623205467834768
1e-07,5e-07,1,4,0.0,1.999943403066561,-0.16681767290143634
1e-07,5e-07,1,9,0.9,1.9999426273937106,0.19804233410307878
2e-07,5e-07,2,1,0.0,1.999942338055013,0.04000803195344349
2e-07,5e-07,1,8,0.9,1.9999415932108946,0.2044473886648588
1.6e-06,1e-06,1,6,0.9,1.9999415831821827,0.27332252491993564
1e-07,1e-06,2,9,0.9,1.9999407865917689,0.19873264087988374
4e-07,5e-07,2,6,0.9,1.9999401623520672,0.1361919045916433
4e-07,1e-06,1,4,0.0,1.9999395787975,0.020084653335877833
1e-07,5e-07,2,9,0.9,1.9999395406647023,0.20708240083773982
1e-07,5e-07,4,6,0.9,1.999938604199564,0.09230458791236343
1e-07,5e-07,4,8,0.9,1.9999378187263812,0.21824260591877306
1e-07,1e-06,4,2,0.0,1.9999373985576372,0.017516796884360697
8e-07,5e-07,1,6,0.9,1.9999370066767876,0.14024687403058472
1e-07,5e-07,8,6,0.9,1.9999363916092705,0.12658474745767187
2e-07,1e-06,1,6,0.9,1.9999361438840428,0.0640928620877998
2e-07,5e-07,1,9,0.9,1.999936094776959,0.20870592973346036
2e-07,5e-07,1,4,0.0,1.9999360437206675,-0.07982534220125892
4e-07,1e-06,2,8,0.9,1.999935910932472,0.21831782927301757
2e-07,1e-06,4,8,0.9,1.9999355683091387,0.2175133747407034
1e-07,1e-06,4,9,0.9,1.9999350784995449,0.20851773560547288
4e-07,1e-06,1,9,0.9,1.9999350644379348,0.21089357697201871
2e-07,5e-07,2,8,0.9,1.9999346150625699,0.2185127273912717
1e-07,2e-07,1,8,0.9,1.9999336415571878,0.21413582699444228
1e-07,5e-07,4,5,0.0,1.9999331639745623,0.012803296488695715
4e-07,5e-07,1,8,0.9,1.9999328175885993,0.2243657213820917
8e-07,1e-06,1,8,0.9,1.9999325179285983,0.2227451021891542
1e-07,5e-07,2,1,0.0,1.9999324701958514,0.178614404894072
2e-07,1e-06,2,4,0.0,1.9999320749754936,-0.010467835501244194
1e-07,5e-07,8,7,0.9,1.9999316299551098,0.2029805150639439
1e-07,1e-06,8,8,0.9,1.9999312703153174,0.2184501967676399
2e-07,1e-06,2,9,0.9,1.9999303444055017,0.2090964778614946
1e-07,2e-07,1,2,0.0,1.9999303382916591,-0.04604922253633259
8e-07,1e-06,1,9,0.9,1.999929808516951,0.2279846049910697
4e-07,1e-06,4,7,0.9,1.9999297857794232,0.2387870039301239
2e-07,2e-07,1,2,0.0,1.9999294284454883,-0.02835984609654496
2e-07,1e-06,8,7,0.9,1.9999292079101516,0.23103585357181453
4e-07,1e-06,2,1,0.0,1.9999289137600704,0.07981667686710636
1e-07,5e-07,4,9,0.9,1.9999288112426512,0.2258133312500884
2e-07,5e-07,4,7,0.9,1.9999285389129124,0.21967874561716316
1e-07,1e-06,8,9,0.9,1.9999279878054488,0.22734787114298177
2e-07,2e-07,1,7,0.9,1.999927882388733,0.17207401202923245
1.6e-06,1e-06,1,7,0.9,1.9999263257848177,0.25045117253969135
4e-07,1e-06,2,9,0.9,1.9999261948235394,0.22929848013666815
8e-07,1e-06,2,7,0.9,1.9999253609269811,0.2486403738759282
1e-07,2e-07,1,9,0.9,1.9999236530028686,0.21921214976391085
2e-07,1e-06,4,9,0.9,1.9999232157031965,0.22951958783975182
1e-07,5e-07,8,8,0.9,1.9999226906455547,0.2490232465910717
4e-07,2e-07,1,2,0.0,1.9999225612848868,0.019008209789653785
2e-07,5e-07,2,9,0.9,1.9999225253312758,0.23091511479181348
4e-07,5e-07,2,7,0.9,1.99992245562111,0.23902536240572458
2e-07,2e-07,1,6,0.9,1.9999210683831248,0.1369373456392487
1e-07,1e-06,4,1,0.0,1.999921047866191,0.6079035586729087
2e-07,1e-06,8,8,0.9,1.9999197247545368,0.24858396211244002
8e-07,5e-07,1,7,0.9,1.9999194777986768,0.24814947364988163
8e-07,1e-06,4,6,0.9,1.9999192299075248,0.19017790252332378
4e-07,5e-07,2,2,0.0,1.9999191053370537,0.025541985104076126
2e-07,1e-06,4,1,0.0,1.999919099655426,0.030079961487959217
4e-07,1e-06,8,6,0.9,1.999918705108054,0.1890927865929418
4e-07,1e-06,4,8,0.9,1.9999182380662588,0.25353326823939226
4e-07,5e-07,1,9,0.9,1.9999182369820339,0.23593791553427557
2.65e-06,1e-06,1,6,0.9,1.999917276900534,0.23372656514378237
4e-07,2e-07,1,5,0.0,1.9999169029643913,0.006226990343214389
2e-07,5e-07,8,6,0.9,1.9999168622881047,0.20332272936094126
4e-07,1e-06,2,2,0.0,1.9999166362859238,0.044450193706337515
1e-07,5e-07,4,2,0.0,1.9999155116955318,0.018626820728324334
2e-07,5e-07,4,8,0.9,1.9999151587635413,0.25162642549670156
4e-07,5e-07,2,1,0.0,1.9999151163038973,0.06463285790927376
2e-07,1e-06,4,5,0.0,1.999914979123536,0.04741217515757601
2e-07,1e-06,4,2,0.0,1.9999145716486642,0.037631921140151126
1.6e-06,1e-06,2,6,0.9,1.9999141111878262,0.18958714848127803
4e-07,5e-07,1,4,0.0,1.9999137542790968,-0.011370192069381613
2e-07,2e-07,1,8,0.9,1.999913386301273,0.24360853871430665
8e-07,5e-07,1,2,0.0,1.999912826507871,0.02593584396801385
4e-07,5e-07,2,8,0.9,1.9999116661062744,0.2605413959908537
8e-07,1e-06,1,1,0.0,1.999911583215135,0.07966684465200691
4e-07,5e-07,4,6,0.9,1.9999112897242022,0.21575375166145316
8e-07,1e-06,2,8,0.9,1.9999084806066663,0.2573693635062389
1e-07,1e-06,8,5,0.0,1.9999072705677174,0.017617904688863928
8e-07,5e-07,2,6,0.9,1.9999067218368651,0.2229979909201862
