w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
1e-06,3e-07,4,3,0.0,2.0,0.15079171483446557,0.2702949606463121,4.138313e-07,1.1076680000000004e-07,6.444209999999998e-07
1e-06,5e-07,8,3,0.0,2.0,0.2823908315522181,0.15856337707437845,4.96881e-07,1.0949610000000001e-07,6.807724999999998e-07
1e-06,3e-07,8,3,0.0,2.0,0.37907228103943497,0.04200681843634923,6.376397000000001e-07,1.0958120000000008e-07,7.283031666666665e-07
7.5e-07,5e-07,8,3,0.0,2.0,0.17990806418727995,0.2658568921294365,4.159854e-07,1.0981930000000005e-07,6.321126666666665e-07
5e-07,3e-07,8,3,0.0,2.0,0.16792828429358292,0.26769003758232274,4.0793320000000004e-07,1.0996320000000005e-07,6.228728333333334e-07
7.5e-07,3e-07,8,3,0.0,2.0,0.29965445744193014,0.12482412680229553,5.666204e-07,1.0901520000000001e-07,7.172818333333333e-07
2.5e-06,1e-06,8,3,0.0,2.0,0.3892580919535687,0.0534347851822622,5.416417e-07,1.0738790000000008e-07,6.223913333333333e-07
2.5e-06,5e-07,8,3,0.0,2.0,0.40888221858385043,0.016196841932566847,7.651126280000001e-07,1.0578069999999998e-07,9.628052833333332e-07
2.5e-06,5e-07,4,3,0.0,2.0,0.3535645128353207,0.07155268669500492,5.972944e-07,1.0939990000000005e-07,7.296813333333332e-07
2.5e-06,3e-07,8,3,0.0,2.0,0.3924953183681225,0.012138556583426916,8.512618e-07,1.0554000000000004e-07,1.4025749999999999e-06
2.5e-06,5e-07,2,3,0.0,2.0,0.14376989106673332,0.28136622471332323,3.36994e-07,1.1103050000000009e-07,5.574569999999999e-07
2.5e-06,3e-07,4,3,0.0,2.0,0.38094999042889643,0.023704099951770377,7.257587e-07,1.0837859999999997e-07,8.570224999999999e-07
2.5e-06,3e-07,2,3,0.0,2.0,0.19172037116459767,0.212944163228513,5.021903e-07,1.1038940000000004e-07,7.106875e-07
2.5e-06,1e-06,4,3,0.0,2.0,0.16611938287555283,0.27666063143160785,3.601638000000001e-07,1.110563000000001e-07,5.694951666666666e-07
3e-06,3e-08,4,0,0.0,2.0,0.19446383477947374,0.2187962338459801,9.314318e-07,1.0462030000000009e-07,
3e-06,3e-08,8,0,0.0,2.0,0.3680070037220674,0.0452431683887146,1.0196207e-06,1.0390580000000005e-07,
2e-06,5e-07,8,3,0.0,2.0,0.4068432743994909,0.021038799640267995,7.2014093e-07,1.078611e-07,8.612694999999998e-07
2e-06,1e-06,8,3,0.0,2.0,0.13611658584683556,0.30909414156288784,4.835029e-07,1.0933990000000009e-07,6.206903333333333e-07
3e-06,4e-08,4,0,0.0,2.0,0.19446383477947374,0.2187962338459801,9.314318e-07,1.0462030000000009e-07,
2e-06,5e-07,4,3,0.0,2.0,0.4276147700082709,0.0002968075161998377,5.264451000000001e-07,1.1024190000000009e-07,7.109860000000001e-07
2e-06,3e-07,8,3,0.0,2.0,0.39351890470223144,0.013895286755488104,8.130222600000001e-07,1.062907e-07,1.1702130000000002e-06
3e-06,4e-08,8,0,0.0,2.0,0.3680070037220674,0.0452431683887146,1.0196207e-06,1.0390580000000005e-07,
2e-06,3e-07,2,3,0.0,2.0,0.14030913251653032,0.2671290327941573,4.285514e-07,1.102713e-07,6.608406666666666e-07
2e-06,3e-07,4,3,0.0,2.0,0.3699530707370436,0.03747679820249962,6.671807e-07,1.098986e-07,7.507784999999998e-07
1.5e-06,1e-06,8,3,0.0,2.0,0.18880230951205468,0.2603611171263614,3.9660420000000003e-07,1.0911460000000009e-07,5.792036666666666e-07
3e-06,6e-08,8,0,0.0,2.0,0.23136949540567553,0.20771550003500294,9.886823e-07,1.0473010000000008e-07,1.5803878333333333e-06
1.5e-06,5e-07,8,3,0.0,2.0,0.393952991121178,0.038448530571154764,6.339932e-07,1.0893190000000005e-07,7.102081666666665e-07
1.5e-06,5e-07,4,3,0.0,2.0,0.16329241325895044,0.2691305685214245,4.117941e-07,1.1026959999999997e-07,6.359395e-07
1.5e-06,3e-07,4,3,0.0,2.0,0.19341190149613666,0.218612348846663,5.736971e-07,1.0989280000000005e-07,7.467644999999999e-07
1.5e-06,3e-07,8,3,0.0,2.0,0.3936744581017613,0.018338729462888555,7.5062223e-07,1.077947e-07,9.260331666666667e-07
1.6e-06,3e-08,8,0,0.0,2.0,0.35501664275129496,0.062281501940877476,9.553431e-07,1.0382419999999997e-07,
1.6e-06,3e-08,8,4,0.0,2.0,0.4254802003252465,0.03171988237593599,1.0002245e-06,1.1168109999999997e-07,
1.6e-06,4e-08,8,4,0.0,2.0,0.4254802003252465,0.03171988237593599,1.0002245e-06,1.1168109999999997e-07,
1.6e-06,4e-08,4,4,0.0,2.0,0.3151720357388386,0.1420325412130083,8.6754554e-07,1.1173030000000005e-07,
1.6e-06,6e-08,8,4,0.0,2.0,0.4333061026134065,0.00964384129557641,9.825945e-07,1.117688000000001e-07,1.4632711666666669e-06
3e-06,3e-08,4,4,0.0,2.0,0.41195745400971545,0.03839517677063515,9.779632e-07,1.1109070000000005e-07,
8e-07,3e-08,8,4,0.0,2.0,0.3971484243540546,0.053412488076974726,8.851419000000001e-07,1.1181820000000001e-07,
1.6e-06,4e-08,8,0,0.0,2.0,0.35501664275129496,0.062281501940877476,9.553431e-07,1.0382419999999997e-07,
1e-07,1e-06,1,6,0.9,2.0,0.09020797546890669,0.4568273567466864,5.504399999999963e-10,7.07029999999997e-10,1.4423333333332834e-09
3e-06,4e-08,2,4,0.0,2.0,0.24632815400541677,0.20402934595017183,8.4522814e-07,1.1117310000000004e-07,
3e-06,3e-08,8,4,0.0,2.0,0.42481193664539496,0.02553099184829795,1.8319468e-06,1.1070989999999997e-07,
3e-06,4e-08,4,4,0.0,2.0,0.41195745400971545,0.03839517677063515,9.779632e-07,1.1109070000000005e-07,
3e-06,4e-08,8,4,0.0,2.0,0.42481193664539496,0.02553099184829795,1.8319468e-06,1.1070989999999997e-07,
3e-06,6e-08,4,4,0.0,2.0,0.13554046229344224,0.30542825129470175,9.514073e-07,1.112343e-07,1.3911816666666665e-06
8e-07,4e-08,8,4,0.0,2.0,0.3971484243540546,0.053412488076974726,8.851419000000001e-07,1.1181820000000001e-07,
1.6e-06,3e-08,4,4,0.0,2.0,0.3151720357388386,0.1420325412130083,8.6754554e-07,1.1173030000000005e-07,
3e-06,6e-08,8,4,0.0,2.0,0.4066649612392643,0.03429572772004429,1.1420323e-06,1.117223000000001e-07,1.4746164999999997e-06
3e-06,3e-08,2,4,0.0,2.0,0.24632815400541677,0.20402934595017183,8.4522814e-07,1.1117310000000004e-07,
3e-06,9e-08,8,4,0.0,2.0,0.3931459660097641,0.053185088488600984,1.0178359e-06,1.105759e-07,1.5533388333333335e-06
1e-07,3e-08,8,1,0.0,1.999999757269919,-0.09155370642002314,0.6,1.2791759999999997e-07,1.0432739999999997e-07,
