Bit#	SIN	A0
0	0	1  <-- MISMATCH
1	0	1  <-- MISMATCH
2	0	1  <-- MISMATCH
3	0	1  <-- MISMATCH
4	0	1  <-- MISMATCH
5	0	1  <-- MISMATCH
6	0	1  <-- MISMATCH
7	0	1  <-- MISMATCH
8	0	1  <-- MISMATCH
9	0	1  <-- MISMATCH
10	0	1  <-- MISMATCH
11	0	1  <-- MISMATCH
12	0	1  <-- MISMATCH
13	0	1  <-- MISMATCH
14	0	1  <-- MISMATCH
15	0	1  <-- MISMATCH
16	0	1  <-- MISMATCH
17	0	1  <-- MISMATCH
18	0	1  <-- MISMATCH
19	0	1  <-- MISMATCH
20	0	1  <-- MISMATCH
21	0	1  <-- MISMATCH
22	0	1  <-- MISMATCH
23	0	1  <-- MISMATCH
24	0	1  <-- MISMATCH
25	0	1  <-- MISMATCH
26	0	1  <-- MISMATCH
27	0	1  <-- MISMATCH
28	0	1  <-- MISMATCH
29	0	1  <-- MISMATCH
30	0	1  <-- MISMATCH
31	0	1  <-- MISMATCH
32	0	1  <-- MISMATCH
33	0	1  <-- MISMATCH
34	0	1  <-- MISMATCH
35	0	1  <-- MISMATCH
36	0	1  <-- MISMATCH
37	0	1  <-- MISMATCH
38	0	1  <-- MISMATCH
39	0	1  <-- MISMATCH
40	0	1  <-- MISMATCH
41	0	1  <-- MISMATCH
42	0	1  <-- MISMATCH
43	0	1  <-- MISMATCH
44	0	1  <-- MISMATCH
45	0	1  <-- MISMATCH
46	0	1  <-- MISMATCH
47	0	1  <-- MISMATCH
48	0	1  <-- MISMATCH
49	0	1  <-- MISMATCH
50	0	1  <-- MISMATCH
51	0	1  <-- MISMATCH
52	0	1  <-- MISMATCH
53	0	1  <-- MISMATCH
54	0	1  <-- MISMATCH
55	0	1  <-- MISMATCH
56	0	1  <-- MISMATCH
57	0	1  <-- MISMATCH
58	0	1  <-- MISMATCH
59	0	1  <-- MISMATCH
60	0	1  <-- MISMATCH
61	0	1  <-- MISMATCH
62	0	1  <-- MISMATCH
63	0	1  <-- MISMATCH
64	0	1  <-- MISMATCH
65	0	1  <-- MISMATCH
66	0	1  <-- MISMATCH
67	0	1  <-- MISMATCH
68	0	1  <-- MISMATCH
69	0	1  <-- MISMATCH
70	0	1  <-- MISMATCH
71	0	1  <-- MISMATCH
72	0	1  <-- MISMATCH
73	0	1  <-- MISMATCH
74	0	1  <-- MISMATCH
75	0	1  <-- MISMATCH
76	0	1  <-- MISMATCH
77	0	1  <-- MISMATCH
78	0	1  <-- MISMATCH
79	0	1  <-- MISMATCH
80	0	1  <-- MISMATCH
81	0	1  <-- MISMATCH
82	0	1  <-- MISMATCH
83	0	1  <-- MISMATCH
84	0	1  <-- MISMATCH
85	0	1  <-- MISMATCH
86	0	1  <-- MISMATCH
87	0	1  <-- MISMATCH
88	0	1  <-- MISMATCH
89	0	1  <-- MISMATCH
90	0	1  <-- MISMATCH
91	0	1  <-- MISMATCH
92	0	1  <-- MISMATCH
93	0	1  <-- MISMATCH
94	0	1  <-- MISMATCH
95	0	1  <-- MISMATCH
96	0	1  <-- MISMATCH
97	0	1  <-- MISMATCH
98	0	1  <-- MISMATCH
99	0	1  <-- MISMATCH
100	0	1  <-- MISMATCH
